Query,Clicks,Impressions,CTR,Avg position,Search intent,Recommended landing page,Ranking opportunity,Recommended action,Priority
computer science tutoring near me,0,5,0%,10.6,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
stem tutor vancouver,0,5,0%,11.2,Subject tutoring,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
actuarial science tutor usa,0,5,0%,11.4,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
cs tutor,0,5,0%,12,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
grade 12 math tutor,0,5,0%,13.2,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
biology tutors for college students,0,5,0%,16.8,University / professional,/programs/university-biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
chemistry 11 tutor vancouver,0,5,0%,21.4,Grade / course-specific,/chemistry-11-tutor-vancouver,Low (long-term),Monitor; low priority,P4
precalculus tutoring,0,5,0%,22.6,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
ap calculus tutor vancouver,0,5,0%,23.2,Grade / course-specific,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P4
college chemistry tutor,0,5,0%,24,University / professional,/programs/university-chemistry,Low (long-term),Monitor; low priority,P4
math 100,0,5,0%,26,University / professional,/programs/university-mathematics,Low (long-term),Monitor; low priority,P4
precalculus tutors,0,5,0%,26.4,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
online r tutor,0,5,0%,26.6,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
calculus tutor,0,5,0%,29.2,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
calculus tutoring,0,5,0%,30.2,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
python tutors near me,0,5,0%,30.4,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P4
pathophysiology tutor,0,5,0%,34.8,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
tutoring places near me,1,4,25%,1,Broad tutoring,/ (homepage) or /programs,Converting (defend),Keep; protect ranking,P1
math tutor,0,4,0%,1,Subject tutoring,/programs/mathematics,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
web development tutor burnaby,0,4,0%,4,Subject tutoring,/coding-tutor-burnaby,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
university finance tutor vancouver,0,4,0%,5,University / professional,/programs/university-finance,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
ap tutoring near me,0,4,0%,13.75,Grade / course-specific,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
math 104 ubc,0,4,0%,14.75,University / professional,/programs/university-mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
science tutor,0,4,0%,16.75,Subject tutoring,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
physics tutor ubc,0,4,0%,19.25,University / professional,/programs/university-physics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ap chemistry tutors near me,0,4,0%,19.5,Grade / course-specific,/programs/chemistry,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
chemistry tutors for college,0,4,0%,21.5,University / professional,/programs/university-chemistry,Low (long-term),Monitor; low priority,P4
college chemistry tutors,0,4,0%,22,University / professional,/programs/university-chemistry,Low (long-term),Monitor; low priority,P4
physiology tutor,0,4,0%,22.25,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
algebra tutor,0,4,0%,23.5,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
ap chemistry tutoring near me,0,4,0%,24.75,Grade / course-specific,/programs/chemistry,Low (long-term),Monitor; low priority,P4
data science tutor,0,4,0%,27.75,Subject tutoring,/programs,Low (long-term),Monitor; low priority,P4
calculus 2 tutor online,0,4,0%,28.75,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
10 grade math tutor,0,4,0%,29.25,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
calculus ab tutor near me,0,4,0%,29.75,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
organic chemistry tutoring,0,4,0%,33,Subject tutoring,/programs/chemistry,Low (long-term),Monitor; low priority,P4
repeat grade 12 physics,0,4,0%,33.75,Grade / course-specific,/programs/physics,Low (long-term),Monitor; low priority,P4
ib mock exam tutor,0,4,0%,43.75,Grade / course-specific,/programs,Low (long-term),Monitor; low priority,P4
science tutoring,0,4,0%,44.5,Subject tutoring,/programs,Low (long-term),Monitor; low priority,P4
singapore math tutor near me,0,4,0%,50.25,Irrelevant / low-value,— (not a service we offer),Low (long-term),Ignore / mark not-relevant,P4
after school math classes,0,4,0%,55.5,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
private tutor,0,3,0%,1,Broad tutoring,/ (homepage) or /programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
math tutor rate,0,3,0%,4,Informational (pricing/jobs),/pricing,Striking distance (pos 4-10),Ensure /pricing answers this,P2
maths classes near me,0,3,0%,4.33,Subject tutoring,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
data science tutors,0,3,0%,6,Subject tutoring,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
java tutors near me,0,3,0%,6,Subject tutoring,/programs/computer-science,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
html css javascript tutor vancouver,0,3,0%,7,Subject tutoring,/computer-science-tutor-vancouver,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
tutor burnaby,0,3,0%,13.33,Broad tutoring,/math-tutor-burnaby (city hub),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
healthcare sciences tutor canada,0,3,0%,14,Subject tutoring,/programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
high school biology tutor,0,3,0%,14,Subject tutoring,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ib biology tutor vancouver,0,3,0%,14.33,Grade / course-specific,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
gmat prep vancouver,0,3,0%,14.67,University / professional,/programs/gmat-prep,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
math tutoring near me,0,3,0%,14.67,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
biology tutor near me,0,3,0%,15.67,Subject tutoring,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
newtons tutoring,0,3,0%,16,Broad tutoring,/ (homepage) or /programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
grade 12 math tutor vancouver,0,3,0%,16.33,Grade / course-specific,/grade-12-math-tutor-vancouver,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
burnaby tutoring,0,3,0%,17.67,Broad tutoring,/math-tutor-burnaby (city hub),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ubc math 104,0,3,0%,18,University / professional,/programs/university-mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
computer programming tutors near me,0,3,0%,23,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P4
gre coaching canada,0,3,0%,23,University / professional,/programs/gre-prep,Low (long-term),Monitor; low priority,P4
algebra tutors,0,3,0%,23.67,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
pre calc tutoring,0,3,0%,23.67,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
biomedical engineering tutor,0,3,0%,26,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
institute of actuaries tutors,0,3,0%,33,University / professional,/actuarial-science-tutor or /actuarial-exam-tutor-online,Low (long-term),Monitor; low priority,P4
online pharmacology tutor,0,3,0%,33.33,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
math 100 syllabus,0,3,0%,34,University / professional,/programs/university-mathematics,Low (long-term),Monitor; low priority,P4
ib math tutor,0,3,0%,39.33,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
online pharmacology tutors,0,3,0%,39.33,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
top-rated calculus tutors richmond,0,3,0%,41,Subject tutoring,/math-tutor-richmond,Low (long-term),Monitor; low priority,P4
calculus 2 tutoring,0,3,0%,42.67,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
econometrics tutors online,0,3,0%,48.33,University / professional,/online-economics-tutor,Low (long-term),Monitor; low priority,P4
online macroeconomics tutor,0,3,0%,57.33,University / professional,/online-economics-tutor,Low (long-term),Monitor; low priority,P4
tutor for computer science,1,2,50%,19,Subject tutoring,/programs/computer-science,Converting (defend),Keep; protect ranking,P1
orton gillingham tutors near me,0,2,0%,1,Irrelevant / low-value,— (not a service we offer),Top-3 no clicks (snippet/relevance),Ignore / mark not-relevant,P4
online medical sciences tutor usa,0,2,0%,1.5,Subject tutoring,/programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
math and science,0,2,0%,2,Subject tutoring,/programs/mathematics,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
math and science tutor,0,2,0%,3.5,Subject tutoring,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
online health sciences tutor,0,2,0%,3.5,Subject tutoring,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
tutoring jobs burnaby,0,2,0%,4.5,Informational (pricing/jobs),"— (recruiting, not target)",Striking distance (pos 4-10),Ignore (recruiting query),P2
physics tutor grade 12,0,2,0%,5,Grade / course-specific,/programs/physics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
chemistry 12 review,0,2,0%,5.5,Grade / course-specific,/programs/chemistry,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
programming tutor,0,2,0%,6,Subject tutoring,/programs/computer-science,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
sat prep,0,2,0%,7,Other,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
calculus tutors near me,0,2,0%,8,Subject tutoring,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
grade 10 tutor,0,2,0%,8,Grade / course-specific,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
math learning,0,2,0%,8,Subject tutoring,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
chem 111 ubc,0,2,0%,9,University / professional,/university-professional,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
ap biology tutoring near me,0,2,0%,11,Grade / course-specific,/programs/biology,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ib math tutor near me,0,2,0%,11,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ib math tutors,0,2,0%,11.5,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
precalc tutor,0,2,0%,11.5,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
math courses,0,2,0%,12,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
summer math tutoring,0,2,0%,12.5,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
computer coding tutor,0,2,0%,13.5,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
engineering statics tutor,0,2,0%,13.5,Broad tutoring,/ (homepage) or /programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
organic chemistry tutors near me,0,2,0%,13.5,Subject tutoring,/programs/chemistry,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
cfa level 1 tutor vancouver,0,2,0%,15,University / professional,/programs/university-finance,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
financial accounting tutor vancouver,0,2,0%,15.5,University / professional,/university-professional,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
burnaby in home tutoring services,0,2,0%,16,Broad tutoring,/math-tutor-burnaby (city hub),Page-2 (build authority),Add depth + internal links to lift to page 1,P3
need a really smart tutor for high school advanced classes,0,2,0%,16,Broad tutoring,/ (homepage) or /programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
ubc math 100 textbook,0,2,0%,17,University / professional,/programs/university-mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
tutoring rates,0,2,0%,17.5,Informational (pricing/jobs),/pricing,Page-2 (build authority),Ensure /pricing answers this,P3
math 405 ubc,0,2,0%,18.5,University / professional,/programs/university-mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
best gmat tutor vancouver,0,2,0%,19,University / professional,/programs/gmat-prep,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
year 10 maths tutor,0,2,0%,19.5,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
financial accounting tutoring,0,2,0%,21,University / professional,/university-professional,Low (long-term),Monitor; low priority,P4
online tutoring for dyslexia,0,2,0%,21,Irrelevant / low-value,— (not a service we offer),Low (long-term),Ignore / mark not-relevant,P4
math 102 ubc,0,2,0%,22,University / professional,/programs/university-mathematics,Low (long-term),Monitor; low priority,P4
math 215 ubc,0,2,0%,24,University / professional,/programs/university-mathematics,Low (long-term),Monitor; low priority,P4
tutoring pricing,0,2,0%,26.5,Informational (pricing/jobs),/pricing,Low (long-term),Ensure /pricing answers this,P4
pharmacology tutor online,0,2,0%,27,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
programming tutor near me,0,2,0%,27,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P4
linear algebra tutors,0,2,0%,28.5,Subject tutoring,/programs/mathematics,Low (long-term),Monitor; low priority,P4
r programming tutor,0,2,0%,29,Subject tutoring,/programs/computer-science,Low (long-term),Monitor; low priority,P4
microbiology tutor,0,2,0%,29.5,Subject tutoring,/programs/biology,Low (long-term),Monitor; low priority,P4
gmat tutors near,0,2,0%,30.5,University / professional,/programs/gmat-prep,Low (long-term),Monitor; low priority,P4
tutor rates,0,2,0%,30.5,Informational (pricing/jobs),/pricing,Low (long-term),Ensure /pricing answers this,P4
science tutor near me,0,2,0%,31,Subject tutoring,/programs,Low (long-term),Monitor; low priority,P4
gmat tutor near,0,2,0%,32.5,University / professional,/programs/gmat-prep,Low (long-term),Monitor; low priority,P4
6th grade math tutor,0,2,0%,35.5,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
ib program tutoring,0,2,0%,35.5,Grade / course-specific,/programs,Low (long-term),Monitor; low priority,P4
vancouver private school physics 12,0,2,0%,39,Grade / course-specific,/physics-12-tutor-vancouver,Low (long-term),Monitor; low priority,P4
college calculus tutors near me,0,2,0%,39.5,University / professional,/programs/university-mathematics,Low (long-term),Monitor; low priority,P4
tutoring for dyslexia,0,2,0%,41,Irrelevant / low-value,— (not a service we offer),Low (long-term),Ignore / mark not-relevant,P4
ib diploma tutoring,0,2,0%,44,Grade / course-specific,/programs,Low (long-term),Monitor; low priority,P4
mr lam physics,0,2,0%,44.5,Subject tutoring,/programs/physics,Low (long-term),Monitor; low priority,P4
8th grade math tutor,0,2,0%,46.5,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
10th grade math tutor,0,2,0%,48,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
tutor doctor vancouver,0,2,0%,50,Broad tutoring,/math-tutor-vancouver (city hub),Low (long-term),Monitor; low priority,P4
math 106,0,2,0%,54,University / professional,/programs/university-mathematics,Low (long-term),Monitor; low priority,P4
online math tutoring for 6th graders,0,2,0%,58,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
chemistry in usa contact,0,2,0%,58.5,Subject tutoring,/programs/chemistry,Low (long-term),Monitor; low priority,P4
grade 8 maths tutor online,0,2,0%,59,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
math tutor grade 8,0,2,0%,61,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
microeconomics tutor online,0,2,0%,61,University / professional,/online-economics-tutor,Low (long-term),Monitor; low priority,P4
online math tutoring for 8th graders,0,2,0%,62,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
tutoring surrey,0,2,0%,62.5,Broad tutoring,/math-tutor-surrey (city hub),Low (long-term),Monitor; low priority,P4
rd exam tutoring,0,2,0%,66.5,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
tutor places,1,1,100%,1,Broad tutoring,/ (homepage) or /programs,Converting (defend),Keep; protect ranking,P1
in person,1,1,100%,2,Other,/programs,Converting (defend),Keep; protect ranking,P1
reading fluency python,0,1,0%,1,Irrelevant / low-value,— (not a service we offer),Top-3 no clicks (snippet/relevance),Ignore / mark not-relevant,P4
best reading tutor for kids,0,1,0%,1,Irrelevant / low-value,— (not a service we offer),Top-3 no clicks (snippet/relevance),Ignore / mark not-relevant,P4
concept gap,0,1,0%,1,Other,/programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
math tutors,0,1,0%,1,Subject tutoring,/programs/mathematics,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
medical sciences tutor usa,0,1,0%,1,Subject tutoring,/programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
physics tutors,0,1,0%,1,Subject tutoring,/programs/physics,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
stem tutoring,0,1,0%,1,Subject tutoring,/programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
tutoring centres,0,1,0%,1,Broad tutoring,/ (homepage) or /programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
tutoring for adhd,0,1,0%,1,Irrelevant / low-value,— (not a service we offer),Top-3 no clicks (snippet/relevance),Ignore / mark not-relevant,P4
tutoring options,0,1,0%,1,Broad tutoring,/ (homepage) or /programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
ultrasound burnaby,0,1,0%,1,Other,/programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
math tutor jobs near me,0,1,0%,2,Informational (pricing/jobs),"— (recruiting, not target)",Top-3 no clicks (snippet/relevance),Ignore (recruiting query),P1
toturing,0,1,0%,2,Irrelevant / low-value,— (not a service we offer),Top-3 no clicks (snippet/relevance),Ignore / mark not-relevant,P4
tutoring centre,0,1,0%,2,Broad tutoring,/ (homepage) or /programs,Top-3 no clicks (snippet/relevance),Rewrite snippet to earn the click,P1
british columbia,0,1,0%,4,Other,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
math learning center,0,1,0%,4,Subject tutoring,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
tutoring centers near me,0,1,0%,4,Broad tutoring,/ (homepage) or /programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
tutoring richmond,0,1,0%,4,Broad tutoring,/math-tutor-richmond (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
tutoring vancouver,0,1,0%,4,Broad tutoring,/math-tutor-vancouver (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
grade 11 math tutor near me,0,1,0%,5,Grade / course-specific,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
sat prep courses,0,1,0%,5,Other,/programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
best tutoring near me,0,1,0%,6,Broad tutoring,/ (homepage) or /programs,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
physics tuition near me,0,1,0%,6,Subject tutoring,/programs/physics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
tutoring math near me,0,1,0%,6,Subject tutoring,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
grade 10 math tutor,0,1,0%,7,Grade / course-specific,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
math tutor job,0,1,0%,7,Informational (pricing/jobs),"— (recruiting, not target)",Striking distance (pos 4-10),Ignore (recruiting query),P2
tutoring north vancouver,0,1,0%,8,Broad tutoring,/math-tutor-vancouver (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
english tutor burnaby,0,1,0%,9,Broad tutoring,/math-tutor-burnaby (city hub),Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
math tutors near me for high school,0,1,0%,10,Subject tutoring,/programs/mathematics,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
shreya educare reviews,0,1,0%,10,Branded,/ (homepage) + /about,Striking distance (pos 4-10),Improve snippet + on-page relevance,P2
ap chemistry tutor,0,1,0%,11,Grade / course-specific,/programs/chemistry,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
math tutor near me,0,1,0%,11,Subject tutoring,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
coding tutor,0,1,0%,13,Subject tutoring,/programs/computer-science,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
reading tutor near me,0,1,0%,13,Irrelevant / low-value,— (not a service we offer),Page-2 (build authority),Ignore / mark not-relevant,P4
finance tutor online,0,1,0%,16,Broad tutoring,/ (homepage) or /programs,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
pre calc tutor,0,1,0%,16,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
precalculus 12 bc,0,1,0%,16,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
physics tutor north shore,0,1,0%,17,Subject tutoring,/programs/physics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
math 100 ubc,0,1,0%,18,University / professional,/programs/university-mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
physics tutor sfu,0,1,0%,19,University / professional,/programs/university-physics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
pre calculus 12 bc,0,1,0%,19,Grade / course-specific,/programs/mathematics,Page-2 (build authority),Add depth + internal links to lift to page 1,P3
chemistry tutoring,0,1,0%,23,Subject tutoring,/programs/chemistry,Low (long-term),Monitor; low priority,P4
french classes burnaby,0,1,0%,23,Other,/programs,Low (long-term),Monitor; low priority,P4
grade 11 math tutor vancouver,0,1,0%,23,Grade / course-specific,/grade-11-math-tutor-vancouver,Low (long-term),Monitor; low priority,P4
university tutoring vancouver,0,1,0%,25,University / professional,/university-professional,Low (long-term),Monitor; low priority,P4
pre-calculus 12 bc,0,1,0%,26,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
chemistry tutor ubc,0,1,0%,29,University / professional,/programs/university-chemistry,Low (long-term),Monitor; low priority,P4
tutoring in coquitlam bc,0,1,0%,29,Location (not served),"— (out of service area, do not target)",Low (long-term),Ignore / mark not-relevant,P4
international baccalaureate tutoring,0,1,0%,30,Broad tutoring,/ (homepage) or /programs,Low (long-term),Monitor; low priority,P4
precalculus tutor,0,1,0%,32,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
math tutor surrey bc,0,1,0%,33,Subject tutoring,/math-tutor-surrey,Low (long-term),Monitor; low priority,P4
new westminster tutors,0,1,0%,33,Broad tutoring,/math-tutor-new-westminster (city hub),Low (long-term),Monitor; low priority,P4
pre calculus tutoring,0,1,0%,33,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
computing science tutor,0,1,0%,34,Subject tutoring,/programs,Low (long-term),Monitor; low priority,P4
french tutor in vancouver,0,1,0%,34,Broad tutoring,/math-tutor-vancouver (city hub),Low (long-term),Monitor; low priority,P4
coquitlam tutors,0,1,0%,36,Broad tutoring,/math-tutor-coquitlam (city hub),Low (long-term),Monitor; low priority,P4
math and physics tutoring,0,1,0%,36,Subject tutoring,/programs/physics,Low (long-term),Monitor; low priority,P4
bc pre calculus 12,0,1,0%,37,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
french tutor vancouver,0,1,0%,37,Broad tutoring,/math-tutor-vancouver (city hub),Low (long-term),Monitor; low priority,P4
math classes vancouver,0,1,0%,42,Subject tutoring,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P4
math tutoring north vancouver,0,1,0%,41,Subject tutoring,/math-tutor-vancouver / /vancouver-math-tutor (consolidate to one),Low (long-term),Monitor; low priority,P4
online science tutoring,0,1,0%,41,Subject tutoring,/programs,Low (long-term),Monitor; low priority,P4
pre calculus tutor near me,0,1,0%,46,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
math tutor coquitlam,0,1,0%,47,Subject tutoring,/math-tutor-coquitlam,Low (long-term),Monitor; low priority,P4
science tutors,0,1,0%,48,Subject tutoring,/programs,Low (long-term),Monitor; low priority,P4
online chemistry tutor,0,1,0%,50,Subject tutoring,/programs/chemistry,Low (long-term),Monitor; low priority,P4
pre calc 12,0,1,0%,51,Grade / course-specific,/programs/mathematics,Low (long-term),Monitor; low priority,P4
french classes surrey bc,0,1,0%,53,Other,/programs,Low (long-term),Monitor; low priority,P4
physics tutor online,0,1,0%,76,Subject tutoring,/programs/physics,Low (long-term),Monitor; low priority,P4
ib physics tutor,0,1,0%,79,Grade / course-specific,/programs/physics,Low (long-term),Monitor; low priority,P4
